metabolite,source_cell,sink_cell,exchange_axis,mean_hypertension_yes,mean_hypertension_no,log2fc,p_value,significant
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,35288.51933996142,49045.27971462918,-0.47491539541825,0.9372555339015658,False
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,7.178808754407155,4.646671951060077,0.6275465587048699,1.0,False
gluampn,Podo,Endo_G,Podo→Endo_G,2507.830853562553,2987.0082304474995,-0.2522611672595488,1.0,False
met_L,C_TAL,PT_S3,C_TAL→PT_S3,1.0831247521712668,1.3869705916563972,-0.3567374870189609,1.0,False
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,95.77572255281574,132.19720277819644,-0.4649597365593316,1.0,False
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,801.8185579069618,26.663783029851572,4.91032236827808,1.0,False
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,9.754980289031783,7.935795673314371,0.297764043365571,1.0,False
pi,PT_S3,C_TAL,PT_S3→C_TAL,530.9473212902776,776.5100797636284,-0.5484359222421559,1.0,False
tag_hs,CD4T,Mes,CD4T→Mes,16.532137367125923,26.438527115961303,-0.677368517822209,1.0,False
malt,PT_S1,CNT,PT_S1→CNT,646.9211434661644,1061.3837913391114,-0.7142846508430588,1.0,False
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,936.2459922776445,1706.3971804071182,-0.8659939431831425,1.0,False
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,936.2459922776445,1706.3971804071182,-0.8659939431831425,1.0,False
creat,iPT,PT_S3,iPT→PT_S3,78.51778123937754,33.86147139781476,1.2133747167020792,1.0,False
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,10.176429702392834,8.077177242571777,0.33330835551371973,1.0,False
prostgf2,GS_Stromal,C_TAL,GS_Stromal→C_TAL,7387.861776647057,174.78157402784154,5.401531861440474,1.0,False
