metabolite,source_cell,sink_cell,exchange_axis,mean_Male,mean_Female,log2fc_M_vs_F,p_value,significant
ppi,C_TAL,GS_Stromal,C_TAL→GS_Stromal,23627.189167844237,25829.683871534013,-0.1285819786081959,0.2823842823842824,False
gly,Podo,Endo_G,Podo→Endo_G,55.60892785287874,35.34983180111874,0.6536131566714268,0.2823842823842824,False
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,23627.189167844237,25829.683871534013,-0.1285819786081959,0.2823842823842824,False
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.0,2.362360642694909,-21.171798406279873,0.312321421676216,False
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,0.0,0.03799332020568563,-15.213496144854648,0.312321421676216,False
acald,C_TAL,PEC,C_TAL→PEC,0.0,0.46289889260525485,-18.820340702355264,0.312321421676216,False
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,0.0,11.135724763130936,-23.408692252040748,0.312321421676216,False
man,Fib,Podo,Fib→Podo,0.0,64.01660218321118,-25.931942791567547,0.312321421676216,False
hisglugln,GS_Stromal,Fib,GS_Stromal→Fib,0.0,0.1087768047605057,-16.73102469068924,0.312321421676216,False
hisglu,C_TAL,Fib,C_TAL→Fib,0.0,0.9131599570259276,-19.800509651663447,0.312321421676216,False
5mthf,MyoFib,Fib,MyoFib→Fib,2.9250458876826255,0.0013158684941328297,11.117132753982464,0.3319233706097343,False
asn_L,Podo,Endo_G,Podo→Endo_G,67.75071822934089,14.961858067505238,2.178946815264812,0.33238974330145876,False
for,Podo,Endo_G,Podo→Endo_G,5.960002619932387,3.2408027141641433,0.8789615633817385,0.344988344988345,False
ac,PT_S3,C_TAL,PT_S3→C_TAL,496.6419867620834,317.5401413775752,0.6452672527353036,0.344988344988345,False
succ,iPT,C_TAL,iPT→C_TAL,842.4930628054144,2011.6339885938971,-1.2556311214117546,0.344988344988345,False
gluampn,Podo,Endo_G,Podo→Endo_G,3176.4399705658616,1855.9407193339468,0.7752601245058764,0.344988344988345,False
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,142.70280278468294,96.22763212650848,0.5684905318601977,0.344988344988345,False
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,1348.8980602949648,771.1188289859541,0.8067562225257784,0.3701988010390883,False
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,1348.8980602949648,771.1188289859541,0.8067562225257784,0.3701988010390883,False
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,2.5161640612911693,0.5597189067510092,2.1684496025978377,0.39614698049974106,False
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,1093.332848024068,25.555450312265112,5.41895779510564,0.4079511780144983,False
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,1229.3320467884705,3178.524156405207,-1.3704824068546329,0.4135864135864136,False
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,1263.5722577902002,1098.6695661369733,0.20175061827109633,0.4135864135864136,False
orn,iPT,C_TAL,iPT→C_TAL,54.79885145142919,405.1172981058234,-2.8861221045593366,0.4483077126270574,False
retn,PT_S3,C_TAL,PT_S3→C_TAL,19.24411131352508,0.0,24.197913788703403,0.47048642205878966,False
dtdp,Fib,C_TAL,Fib→C_TAL,17.989805709511664,0.0,24.100676349926722,0.47048642205878966,False
