metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
his_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-0.1770711389924579,0.540898195212907,False,0.8811414851807692
his_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-0.40085571785169616,0.15108895291671826,False,0.8811414851807692
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,eGFR,4.870327015409186,0.06643008188943689,False,0.6472195210964793
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,fibrosis,-0.008648171797407872,0.9951088989582333,False,0.6472195210964793
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,age,-4.490033225558972,0.1051903215618337,False,0.6472195210964793
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,sex_num,-7.760467748768178,0.8890237352918204,False,0.6472195210964793
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,is_DKD,120.04374088341278,0.20609099566672742,False,0.6472195210964793
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,is_HKD,223.21844990715257,0.023980433642287472,True,0.6472195210964793
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,eGFR,0.0781840564675129,0.685747451652207,False,0.31734094564016124
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,fibrosis,-0.11345294407611177,0.34683641273965765,False,0.31734094564016124
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,age,-0.22467921091818416,0.29714288205194306,False,0.31734094564016124
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,sex_num,2.6767026351140433,0.5649235333530163,False,0.31734094564016124
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,is_DKD,8.642729077524638,0.2640710229983165,False,0.31734094564016124
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,is_HKD,5.216037498619126,0.4437201033827515,False,0.31734094564016124
thymd,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,0.16401510530646266,0.7874289989356007,False,0.6436791698783911
thymd,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,0.5668781626121335,0.1547219158153876,False,0.6436791698783911
thymd,C_TAL,PT_S3,C_TAL→PT_S3,age,-0.6671174248967464,0.3248795054694495,False,0.6436791698783911
thymd,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,4.0893880496756125,0.7786742401669111,False,0.6436791698783911
thymd,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-0.7862838993222437,0.9730820733565666,False,0.6436791698783911
thymd,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-6.69346702173413,0.7512588133916511,False,0.6436791698783911
inost,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,0.004448342292865639,0.8455687175696738,False,0.3681317703018817
